Date,Day_Name,Cups_Sold,Sales_Rs,Public_Holiday
2024-01-01,Monday,86,14260,No
2024-01-02,Tuesday,128,20970,No
2024-01-03,Wednesday,135,21340,No
2024-01-04,Thursday,124,20420,No
2024-01-05,Friday,102,15670,No
2024-01-06,Saturday,39,6580,No
2024-01-07,Sunday,30,5020,No
2024-01-08,Monday,103,16430,No
2024-01-09,Tuesday,121,19810,No
2024-01-10,Wednesday,139,21140,No
2024-01-11,Thursday,108,16830,No
2024-01-12,Friday,83,13710,No
2024-01-13,Saturday,41,7040,No
2024-01-14,Sunday,32,5250,No
2024-01-15,Monday,97,15080,No
2024-01-16,Tuesday,122,19580,No
2024-01-17,Wednesday,124,20470,No
2024-01-18,Thursday,111,17920,No
2024-01-19,Friday,,,No
2024-01-20,Saturday,42,6450,No
2024-01-21,Sunday,32,4610,No
2024-01-22,Monday,97,15630,No
2024-01-23,Tuesday,107,18120,No
2024-01-24,Wednesday,142,21990,No
2024-01-25,Thursday,120,19080,No
2024-01-26,Friday,34,5400,Yes
2024-01-27,Saturday,48,7550,No
2024-01-28,Sunday,30,5000,No
2024-01-29,Monday,92,14890,No
2024-01-30,Tuesday,117,20960,No
2024-01-31,Wednesday,130,21230,No
2024-02-01,Thursday,120,19700,No
2024-02-02,Friday,88,14470,No
2024-02-03,Saturday,42,7020,No
2024-02-04,Sunday,29,4780,No
2024-02-05,Monday,97,14980,No
2024-02-06,Tuesday,126,20640,No
2024-02-07,Wednesday,122,19430,No
2024-02-08,Thursday,98,17110,No
2024-02-09,Friday,100,16220,No
2024-02-10,Saturday,43,6730,No
2024-02-11,Sunday,30,4870,No
2024-02-12,Monday,104,17020,No
2024-02-13,Tuesday,112,17900,No
2024-02-14,Wednesday,125,20060,No
2024-02-15,Thursday,101,18010,No
2024-02-16,Friday,87,13470,No
2024-02-17,Saturday,39,6540,No
2024-02-18,Sunday,29,4990,No
2024-02-19,Monday,74,12870,No
2024-02-20,Tuesday,,,No
2024-02-21,Wednesday,119,19570,No
2024-02-22,Thursday,109,16770,No
2024-02-23,Friday,90,14040,No
2024-02-24,Saturday,40,6840,No
2024-02-25,Sunday,32,4800,No
2024-02-26,Monday,102,16210,No
2024-02-27,Tuesday,121,20160,No
2024-02-28,Wednesday,115,19850,No
2024-02-29,Thursday,108,17970,No
2024-03-01,Friday,85,14470,No
2024-03-02,Saturday,41,6950,No
2024-03-03,Sunday,30,5210,No
2024-03-04,Monday,90,15050,No
2024-03-05,Tuesday,,,No
2024-03-06,Wednesday,126,21300,No
2024-03-07,Thursday,123,18660,No
2024-03-08,Friday,81,13440,No
2024-03-09,Saturday,40,7030,No
2024-03-10,Sunday,37,5860,No
2024-03-11,Monday,84,13780,No
2024-03-12,Tuesday,115,18490,No
2024-03-13,Wednesday,130,20510,No
2024-03-14,Thursday,113,19330,No
2024-03-15,Friday,86,13670,No
2024-03-16,Saturday,43,6750,No
2024-03-17,Sunday,32,5420,No
2024-03-18,Monday,87,14920,No
2024-03-19,Tuesday,114,19430,No
2024-03-20,Wednesday,123,19950,No
2024-03-21,Thursday,122,19610,No
2024-03-22,Friday,91,14240,No
2024-03-23,Saturday,50,7880,No
2024-03-24,Sunday,32,5130,No
2024-03-25,Monday,36,5860,Yes
2024-03-26,Tuesday,125,20990,No
2024-03-27,Wednesday,133,21100,No
2024-03-28,Thursday,124,19030,No
2024-03-29,Friday,30,5120,Yes
2024-03-30,Saturday,45,7540,No
2024-03-31,Sunday,31,5320,No
2024-04-01,Monday,101,15800,No
2024-04-02,Tuesday,138,21170,No
2024-04-03,Wednesday,131,20290,No
2024-04-04,Thursday,123,20080,No
2024-04-05,Friday,95,15320,No
2024-04-06,Saturday,45,7120,No
2024-04-07,Sunday,31,5170,No
2024-04-08,Monday,108,16730,No
2024-04-09,Tuesday,46,7080,Yes
2024-04-10,Wednesday,125,22210,No
2024-04-11,Thursday,118,19240,No
2024-04-12,Friday,86,13850,No
2024-04-13,Saturday,44,7180,No
2024-04-14,Sunday,34,5480,No
2024-04-15,Monday,109,16720,No
2024-04-16,Tuesday,121,20140,No
2024-04-17,Wednesday,137,20690,No
2024-04-18,Thursday,133,19290,No
2024-04-19,Friday,95,14700,No
2024-04-20,Saturday,50,7720,No
2024-04-21,Sunday,31,4960,No
2024-04-22,Monday,97,15270,No
2024-04-23,Tuesday,132,20830,No
2024-04-24,Wednesday,122,20070,No
2024-04-25,Thursday,111,18030,No
2024-04-26,Friday,86,14030,No
2024-04-27,Saturday,44,7580,No
2024-04-28,Sunday,33,5420,No
2024-04-29,Monday,104,17390,No
2024-04-30,Tuesday,134,21770,No
2024-05-01,Wednesday,44,7180,Yes
2024-05-02,Thursday,134,21520,No
2024-05-03,Friday,83,14680,No
2024-05-04,Saturday,49,7710,No
2024-05-05,Sunday,33,5570,No
2024-05-06,Monday,103,16280,No
2024-05-07,Tuesday,123,20920,No
2024-05-08,Wednesday,148,22820,No
2024-05-09,Thursday,130,20860,No
2024-05-10,Friday,84,14490,No
2024-05-11,Saturday,44,7130,No
2024-05-12,Sunday,35,5610,No
2024-05-13,Monday,93,16040,No
2024-05-14,Tuesday,125,21510,No
2024-05-15,Wednesday,147,23320,No
2024-05-16,Thursday,134,21080,No
2024-05-17,Friday,94,14460,No
2024-05-18,Saturday,48,7190,No
2024-05-19,Sunday,36,5290,No
2024-05-20,Monday,126,18680,No
2024-05-21,Tuesday,120,19770,No
2024-05-22,Wednesday,131,22120,No
2024-05-23,Thursday,129,22290,No
2024-05-24,Friday,87,15000,No
2024-05-25,Saturday,51,7420,No
2024-05-26,Sunday,36,5650,No
2024-05-27,Monday,97,16710,No
2024-05-28,Tuesday,133,21470,No
2024-05-29,Wednesday,139,23970,No
2024-05-30,Thursday,122,19970,No
2024-05-31,Friday,107,17120,No
2024-06-01,Saturday,47,7550,No
2024-06-02,Sunday,39,5970,No
2024-06-03,Monday,95,16850,No
2024-06-04,Tuesday,141,25040,No
2024-06-05,Wednesday,158,24410,No
2024-06-06,Thursday,128,20790,No
2024-06-07,Friday,100,17320,No
2024-06-08,Saturday,51,8030,No
2024-06-09,Sunday,32,5040,No
2024-06-10,Monday,111,17870,No
2024-06-11,Tuesday,161,23530,No
2024-06-12,Wednesday,155,24220,No
2024-06-13,Thursday,118,19970,No
2024-06-14,Friday,101,16540,No
2024-06-15,Saturday,,,No
2024-06-16,Sunday,36,5940,No
2024-06-17,Monday,37,6090,Yes
2024-06-18,Tuesday,133,21360,No
2024-06-19,Wednesday,140,22030,No
2024-06-20,Thursday,139,21160,No
2024-06-21,Friday,114,18630,No
2024-06-22,Saturday,50,8350,No
2024-06-23,Sunday,36,5740,No
2024-06-24,Monday,101,16630,No
2024-06-25,Tuesday,161,25710,No
2024-06-26,Wednesday,161,26170,No
2024-06-27,Thursday,130,22330,No
2024-06-28,Friday,98,15290,No
2024-06-29,Saturday,58,9220,No
2024-06-30,Sunday,35,5580,No
2024-07-01,Monday,100,16740,No
2024-07-02,Tuesday,154,23510,No
2024-07-03,Wednesday,148,25560,No
2024-07-04,Thursday,125,21110,No
2024-07-05,Friday,104,16000,No
2024-07-06,Saturday,57,8960,No
2024-07-07,Sunday,36,6160,No
2024-07-08,Monday,104,17650,No
2024-07-09,Tuesday,137,22880,No
2024-07-10,Wednesday,154,23550,No
2024-07-11,Thursday,144,22340,No
2024-07-12,Friday,103,17620,No
2024-07-13,Saturday,56,9420,No
2024-07-14,Sunday,41,6370,No
2024-07-15,Monday,122,19190,No
2024-07-16,Tuesday,122,21580,No
2024-07-17,Wednesday,161,24980,No
2024-07-18,Thursday,133,21870,No
2024-07-19,Friday,95,16520,No
2024-07-20,Saturday,52,8430,No
2024-07-21,Sunday,39,6380,No
2024-07-22,Monday,120,18560,No
2024-07-23,Tuesday,145,23280,No
2024-07-24,Wednesday,149,23960,No
2024-07-25,Thursday,135,22280,No
2024-07-26,Friday,120,19340,No
2024-07-27,Saturday,58,9360,No
2024-07-28,Sunday,37,5970,No
2024-07-29,Monday,106,18080,No
2024-07-30,Tuesday,133,23200,No
2024-07-31,Wednesday,166,27680,No
2024-08-01,Thursday,147,25140,No
2024-08-02,Friday,112,18820,No
2024-08-03,Saturday,60,9290,No
2024-08-04,Sunday,42,6860,No
2024-08-05,Monday,132,21700,No
2024-08-06,Tuesday,156,24450,No
2024-08-07,Wednesday,,,No
2024-08-08,Thursday,135,22010,No
2024-08-09,Friday,106,17160,No
2024-08-10,Saturday,54,8620,No
2024-08-11,Sunday,43,7140,No
2024-08-12,Monday,134,21040,No
2024-08-13,Tuesday,141,22720,No
2024-08-14,Wednesday,171,27340,No
2024-08-15,Thursday,50,7870,Yes
2024-08-16,Friday,120,18880,No
2024-08-17,Saturday,53,8930,No
2024-08-18,Sunday,43,6470,No
2024-08-19,Monday,107,18660,No
2024-08-20,Tuesday,163,25210,No
2024-08-21,Wednesday,162,24700,No
2024-08-22,Thursday,128,22530,No
2024-08-23,Friday,111,17120,No
2024-08-24,Saturday,55,9080,No
2024-08-25,Sunday,41,6570,No
2024-08-26,Monday,114,18740,No
2024-08-27,Tuesday,166,27560,No
2024-08-28,Wednesday,163,26300,No
2024-08-29,Thursday,130,21890,No
2024-08-30,Friday,117,18090,No
2024-08-31,Saturday,62,10380,No
2024-09-01,Sunday,37,6480,No
2024-09-02,Monday,123,19760,No
2024-09-03,Tuesday,166,26950,No
2024-09-04,Wednesday,169,28750,No
2024-09-05,Thursday,156,25920,No
2024-09-06,Friday,127,19950,No
2024-09-07,Saturday,58,8920,Yes
2024-09-08,Sunday,37,6360,No
2024-09-09,Monday,122,19980,No
2024-09-10,Tuesday,175,27700,No
2024-09-11,Wednesday,166,27250,No
2024-09-12,Thursday,144,23610,No
2024-09-13,Friday,,,No
2024-09-14,Saturday,60,9520,No
2024-09-15,Sunday,38,6330,No
2024-09-16,Monday,106,17620,No
2024-09-17,Tuesday,161,24750,No
2024-09-18,Wednesday,173,28270,No
2024-09-19,Thursday,171,25120,No
2024-09-20,Friday,112,17280,No
2024-09-21,Saturday,63,9580,No
2024-09-22,Sunday,44,6700,No
2024-09-23,Monday,131,21980,No
2024-09-24,Tuesday,161,24760,No
2024-09-25,Wednesday,181,28700,No
2024-09-26,Thursday,152,22930,No
2024-09-27,Friday,106,16850,No
2024-09-28,Saturday,56,9260,No
2024-09-29,Sunday,33,6020,No
2024-09-30,Monday,109,17890,No
2024-10-01,Tuesday,165,24700,No
2024-10-02,Wednesday,54,8690,Yes
2024-10-03,Thursday,141,23980,No
2024-10-04,Friday,108,18390,No
2024-10-05,Saturday,59,8530,No
2024-10-06,Sunday,44,6440,No
2024-10-07,Monday,126,21610,No
2024-10-08,Tuesday,143,25420,No
2024-10-09,Wednesday,175,28160,No
2024-10-10,Thursday,143,21490,No
2024-10-11,Friday,115,19020,No
2024-10-12,Saturday,55,8610,Yes
2024-10-13,Sunday,39,6420,No
2024-10-14,Monday,128,19330,No
2024-10-15,Tuesday,162,26290,No
2024-10-16,Wednesday,164,27060,No
2024-10-17,Thursday,,,No
2024-10-18,Friday,134,20200,No
2024-10-19,Saturday,65,9810,No
2024-10-20,Sunday,42,7000,No
2024-10-21,Monday,127,21780,No
2024-10-22,Tuesday,167,26400,No
2024-10-23,Wednesday,173,27660,No
2024-10-24,Thursday,,,No
2024-10-25,Friday,106,18120,No
2024-10-26,Saturday,59,8890,No
2024-10-27,Sunday,40,6110,No
2024-10-28,Monday,143,22090,No
2024-10-29,Tuesday,142,24630,No
2024-10-30,Wednesday,171,28910,No
